country,nuts0,year,fuel_type,fuel_cost [EUR/kwh]
Austria,AT,2015,oil,0.15
Belgium,BE,2015,oil,0.15
Bulgaria,BG,2015,oil,0.15
Croatia,HR,2015,oil,0.15
Cyprus,CY,2015,oil,0.15
Czech Republic,CZ,2015,oil,0.15
Denmark,DK,2015,oil,0.15
Estonia,EE,2015,oil,0.15
Finland,FI,2015,oil,0.15
France,FR,2015,oil,0.15
Germany,DE,2015,oil,0.15
Greece,EL,2015,oil,0.15
Hungary,HU,2015,oil,0.15
Ireland,IE,2015,oil,0.15
Italy,IT,2015,oil,0.15
Latvia,LV,2015,oil,0.15
Lithuania,LT,2015,oil,0.15
Luxembourg,LU,2015,oil,0.15
Malta,MT,2015,oil,0.15
Netherlands,NL,2015,oil,0.15
Poland,PL,2015,oil,0.15
Portugal,PT,2015,oil,0.15
Romania,RO,2015,oil,0.15
Slovakia,SK,2015,oil,0.15
Slovenia,SI,2015,oil,0.15
Spain,ES,2015,oil,0.15
Sweden,SE,2015,oil,0.15
United Kingdom,UK,2015,oil,0.15
Austria,AT,2015,biomass,0.1
Belgium,BE,2015,biomass,0.1
Bulgaria,BG,2015,biomass,0.1
Croatia,HR,2015,biomass,0.1
Cyprus,CY,2015,biomass,0.1
Czech Republic,CZ,2015,biomass,0.1
Denmark,DK,2015,biomass,0.1
Estonia,EE,2015,biomass,0.1
Finland,FI,2015,biomass,0.1
France,FR,2015,biomass,0.1
Germany,DE,2015,biomass,0.1
Greece,EL,2015,biomass,0.1
Hungary,HU,2015,biomass,0.1
Ireland,IE,2015,biomass,0.1
Italy,IT,2015,biomass,0.1
Latvia,LV,2015,biomass,0.1
Lithuania,LT,2015,biomass,0.1
Luxembourg,LU,2015,biomass,0.1
Malta,MT,2015,biomass,0.1
Netherlands,NL,2015,biomass,0.1
Poland,PL,2015,biomass,0.1
Portugal,PT,2015,biomass,0.1
Romania,RO,2015,biomass,0.1
Slovakia,SK,2015,biomass,0.1
Slovenia,SI,2015,biomass,0.1
Spain,ES,2015,biomass,0.1
Sweden,SE,2015,biomass,0.1
United Kingdom,UK,2015,biomass,0.1
Austria,AT,2015,electricity,0.19
Belgium,BE,2015,electricity,0.19
Bulgaria,BG,2015,electricity,0.19
Croatia,HR,2015,electricity,0.19
Cyprus,CY,2015,electricity,0.19
Czech Republic,CZ,2015,electricity,0.19
Denmark,DK,2015,electricity,0.19
Estonia,EE,2015,electricity,0.19
Finland,FI,2015,electricity,0.19
France,FR,2015,electricity,0.19
Germany,DE,2015,electricity,0.19
Greece,EL,2015,electricity,0.19
Hungary,HU,2015,electricity,0.19
Ireland,IE,2015,electricity,0.19
Italy,IT,2015,electricity,0.19
Latvia,LV,2015,electricity,0.19
Lithuania,LT,2015,electricity,0.19
Luxembourg,LU,2015,electricity,0.19
Malta,MT,2015,electricity,0.19
Netherlands,NL,2015,electricity,0.19
Poland,PL,2015,electricity,0.19
Portugal,PT,2015,electricity,0.19
Romania,RO,2015,electricity,0.19
Slovakia,SK,2015,electricity,0.19
Slovenia,SI,2015,electricity,0.19
Spain,ES,2015,electricity,0.19
Sweden,SE,2015,electricity,0.19
United Kingdom,UK,2015,electricity,0.19
Austria,AT,2015,solar,0
Belgium,BE,2015,solar,0
Bulgaria,BG,2015,solar,0
Croatia,HR,2015,solar,0
Cyprus,CY,2015,solar,0
Czech Republic,CZ,2015,solar,0
Denmark,DK,2015,solar,0
Estonia,EE,2015,solar,0
Finland,FI,2015,solar,0
France,FR,2015,solar,0
Germany,DE,2015,solar,0
Greece,EL,2015,solar,0
Hungary,HU,2015,solar,0
Ireland,IE,2015,solar,0
Italy,IT,2015,solar,0
Latvia,LV,2015,solar,0
Lithuania,LT,2015,solar,0
Luxembourg,LU,2015,solar,0
Malta,MT,2015,solar,0
Netherlands,NL,2015,solar,0
Poland,PL,2015,solar,0
Portugal,PT,2015,solar,0
Romania,RO,2015,solar,0
Slovakia,SK,2015,solar,0
Slovenia,SI,2015,solar,0
Spain,ES,2015,solar,0
Sweden,SE,2015,solar,0
United Kingdom,UK,2015,solar,0
Austria,AT,2015,wood,0.1
Belgium,BE,2015,wood,0.1
Bulgaria,BG,2015,wood,0.1
Croatia,HR,2015,wood,0.1
Cyprus,CY,2015,wood,0.1
Czech Republic,CZ,2015,wood,0.1
Denmark,DK,2015,wood,0.1
Estonia,EE,2015,wood,0.1
Finland,FI,2015,wood,0.1
France,FR,2015,wood,0.1
Germany,DE,2015,wood,0.1
Greece,EL,2015,wood,0.1
Hungary,HU,2015,wood,0.1
Ireland,IE,2015,wood,0.1
Italy,IT,2015,wood,0.1
Latvia,LV,2015,wood,0.1
Lithuania,LT,2015,wood,0.1
Luxembourg,LU,2015,wood,0.1
Malta,MT,2015,wood,0.1
Netherlands,NL,2015,wood,0.1
Poland,PL,2015,wood,0.1
Portugal,PT,2015,wood,0.1
Romania,RO,2015,wood,0.1
Slovakia,SK,2015,wood,0.1
Slovenia,SI,2015,wood,0.1
Spain,ES,2015,wood,0.1
Sweden,SE,2015,wood,0.1
United Kingdom,UK,2015,wood,0.1
Austria,AT,2015,gas,0.08
Belgium,BE,2015,gas,0.08
Bulgaria,BG,2015,gas,0.08
Croatia,HR,2015,gas,0.08
Cyprus,CY,2015,gas,0.08
Czech Republic,CZ,2015,gas,0.08
Denmark,DK,2015,gas,0.08
Estonia,EE,2015,gas,0.08
Finland,FI,2015,gas,0.08
France,FR,2015,gas,0.08
Germany,DE,2015,gas,0.08
Greece,EL,2015,gas,0.08
Hungary,HU,2015,gas,0.08
Ireland,IE,2015,gas,0.08
Italy,IT,2015,gas,0.08
Latvia,LV,2015,gas,0.08
Lithuania,LT,2015,gas,0.08
Luxembourg,LU,2015,gas,0.08
Malta,MT,2015,gas,0.08
Netherlands,NL,2015,gas,0.08
Poland,PL,2015,gas,0.08
Portugal,PT,2015,gas,0.08
Romania,RO,2015,gas,0.08
Slovakia,SK,2015,gas,0.08
Slovenia,SI,2015,gas,0.08
Spain,ES,2015,gas,0.08
Sweden,SE,2015,gas,0.08
United Kingdom,UK,2015,gas,0.08
