NUTS2_code,process,year,hour,load,datetime
AT31,Heating Tertiary,2010,1,0.0002485360046178029,2010/01/01 00:00:00
AT31,Heating Tertiary,2010,2,0.00026363500489834255,2010/01/01 01:00:00
AT31,Heating Tertiary,2010,3,0.0002704750050254299,2010/01/01 02:00:00
AT31,Heating Tertiary,2010,4,0.00027298800507212143,2010/01/01 03:00:00
AT31,Heating Tertiary,2010,5,0.00026839800498683916,2010/01/01 04:00:00
AT31,Heating Tertiary,2010,6,0.0002542970047248423,2010/01/01 05:00:00
AT31,Heating Tertiary,2010,7,0.00023163000430368914,2010/01/01 06:00:00
AT31,Heating Tertiary,2010,8,0.00020464800380236314,2010/01/01 07:00:00
AT31,Heating Tertiary,2010,9,0.00017916600332890716,2010/01/01 08:00:00
AT31,Heating Tertiary,2010,10,0.0001594330029622677,2010/01/01 09:00:00
AT31,Heating Tertiary,2010,11,0.00014585100270991393,2010/01/01 10:00:00
AT31,Heating Tertiary,2010,12,0.00013541600251603146,2010/01/01 11:00:00
AT31,Heating Tertiary,2010,13,0.000127293002365106,2010/01/01 12:00:00
AT31,Heating Tertiary,2010,14,0.00012279100228145876,2010/01/01 13:00:00
AT31,Heating Tertiary,2010,15,0.00012076400224379706,2010/01/01 14:00:00
AT31,Heating Tertiary,2010,16,0.00011985300222687066,2010/01/01 15:00:00
AT31,Heating Tertiary,2010,17,0.00011831700219833175,2010/01/01 16:00:00
AT31,Heating Tertiary,2010,18,0.00011773200218746245,2010/01/01 17:00:00
AT31,Heating Tertiary,2010,19,0.00011969400222391645,2010/01/01 18:00:00
AT31,Heating Tertiary,2010,20,0.00012702800236018228,2010/01/01 19:00:00
AT31,Heating Tertiary,2010,21,0.00014238700264555275,2010/01/01 20:00:00
AT31,Heating Tertiary,2010,22,0.00016547200307447243,2010/01/01 21:00:00
AT31,Heating Tertiary,2010,23,0.00019440200361199228,2010/01/01 22:00:00
AT31,Heating Tertiary,2010,24,0.00022425300416662434,2010/01/01 23:00:00
AT31,Heating Tertiary,2010,25,0.000244595004544579,2010/01/02 00:00:00
AT31,Heating Tertiary,2010,26,0.000256255004761222,2010/01/02 01:00:00
AT31,Heating Tertiary,2010,27,0.0002632670048915051,2010/01/02 02:00:00
AT31,Heating Tertiary,2010,28,0.0002671100049629081,2010/01/02 03:00:00
AT31,Heating Tertiary,2010,29,0.0002636690048989743,2010/01/02 04:00:00
AT31,Heating Tertiary,2010,30,0.0002497510046403776,2010/01/02 05:00:00
AT31,Heating Tertiary,2010,31,0.00022689800421576848,2010/01/02 06:00:00
AT31,Heating Tertiary,2010,32,0.0001997810037119342,2010/01/02 07:00:00
AT31,Heating Tertiary,2010,33,0.00017356400322482196,2010/01/02 08:00:00
AT31,Heating Tertiary,2010,34,0.0001524770028330251,2010/01/02 09:00:00
AT31,Heating Tertiary,2010,35,0.00013740800255304284,2010/01/02 10:00:00
AT31,Heating Tertiary,2010,36,0.0001263610023477894,2010/01/02 11:00:00
AT31,Heating Tertiary,2010,37,0.0001185050022018248,2010/01/02 12:00:00
AT31,Heating Tertiary,2010,38,0.00011495700213590291,2010/01/02 13:00:00
AT31,Heating Tertiary,2010,39,0.00011533000214283326,2010/01/02 14:00:00
AT31,Heating Tertiary,2010,40,0.00011691100217220826,2010/01/02 15:00:00
AT31,Heating Tertiary,2010,41,0.00011743500218194419,2010/01/02 16:00:00
AT31,Heating Tertiary,2010,42,0.00011731200217965884,2010/01/02 17:00:00
AT31,Heating Tertiary,2010,43,0.00011866400220477903,2010/01/02 18:00:00
AT31,Heating Tertiary,2010,44,0.00012534500232891211,2010/01/02 19:00:00
AT31,Heating Tertiary,2010,45,0.00014125600262453875,2010/01/02 20:00:00
AT31,Heating Tertiary,2010,46,0.0001662460030888533,2010/01/02 21:00:00
AT31,Heating Tertiary,2010,47,0.00019662600365331426,2010/01/02 22:00:00
AT31,Heating Tertiary,2010,48,0.0002242410041664014,2010/01/02 23:00:00
AT31,Heating Tertiary,2010,49,0.00030375400564375423,2010/01/03 00:00:00
AT31,Heating Tertiary,2010,50,0.00032220700598661124,2010/01/03 01:00:00
AT31,Heating Tertiary,2010,51,0.00033056700614194013,2010/01/03 02:00:00
AT31,Heating Tertiary,2010,52,0.000333639006199018,2010/01/03 03:00:00
AT31,Heating Tertiary,2010,53,0.00032802800609476555,2010/01/03 04:00:00
AT31,Heating Tertiary,2010,54,0.0003107940057745576,2010/01/03 05:00:00
AT31,Heating Tertiary,2010,55,0.0002830920052598539,2010/01/03 06:00:00
AT31,Heating Tertiary,2010,56,0.0002501150046471407,2010/01/03 07:00:00
AT31,Heating Tertiary,2010,57,0.0002189720040685033,2010/01/03 08:00:00
AT31,Heating Tertiary,2010,58,0.00019485400362039047,2010/01/03 09:00:00
AT31,Heating Tertiary,2010,59,0.00017825400331196223,2010/01/03 10:00:00
AT31,Heating Tertiary,2010,60,0.00016550200307502983,2010/01/03 11:00:00
AT31,Heating Tertiary,2010,61,0.00015557400289056738,2010/01/03 12:00:00
AT31,Heating Tertiary,2010,62,0.0001500710027883216,2010/01/03 13:00:00
AT31,Heating Tertiary,2010,63,0.0001475940027422989,2010/01/03 14:00:00
AT31,Heating Tertiary,2010,64,0.00014648100272161933,2010/01/03 15:00:00
AT31,Heating Tertiary,2010,65,0.00014460300268672602,2010/01/03 16:00:00
AT31,Heating Tertiary,2010,66,0.00014388800267344136,2010/01/03 17:00:00
AT31,Heating Tertiary,2010,67,0.00014628700271801482,2010/01/03 18:00:00
AT31,Heating Tertiary,2010,68,0.0001552500028845475,2010/01/03 19:00:00
AT31,Heating Tertiary,2010,69,0.00017402100323331296,2010/01/03 20:00:00
AT31,Heating Tertiary,2010,70,0.00020223500375752957,2010/01/03 21:00:00
AT31,Heating Tertiary,2010,71,0.00023759300441448175,2010/01/03 22:00:00
AT31,Heating Tertiary,2010,72,0.0002740760050923365,2010/01/03 23:00:00
AT31,Heating Tertiary,2010,73,0.00034025100632186905,2010/01/04 00:00:00
AT31,Heating Tertiary,2010,74,0.0003574430066412969,2010/01/04 01:00:00
AT31,Heating Tertiary,2010,75,0.00036633700680654735,2010/01/04 02:00:00
AT31,Heating Tertiary,2010,76,0.00036985400687189327,2010/01/04 03:00:00
AT31,Heating Tertiary,2010,77,0.0003635170067541517,2010/01/04 04:00:00
AT31,Heating Tertiary,2010,78,0.00034245900636289375,2010/01/04 05:00:00
AT31,Heating Tertiary,2010,79,0.0003089950057411321,2010/01/04 06:00:00
AT31,Heating Tertiary,2010,80,0.00027037900502364617,2010/01/04 07:00:00
AT31,Heating Tertiary,2010,81,0.00023556800437685724,2010/01/04 08:00:00
AT31,Heating Tertiary,2010,82,0.00020855100387488093,2010/01/04 09:00:00
AT31,Heating Tertiary,2010,83,0.00018984600352734175,2010/01/04 10:00:00
AT31,Heating Tertiary,2010,84,0.00017583600326703566,2010/01/04 11:00:00
AT31,Heating Tertiary,2010,85,0.00016635800309093432,2010/01/04 12:00:00
AT31,Heating Tertiary,2010,86,0.00016206300301113314,2010/01/04 13:00:00
AT31,Heating Tertiary,2010,87,0.00016220200301371576,2010/01/04 14:00:00
AT31,Heating Tertiary,2010,88,0.00016390400304533897,2010/01/04 15:00:00
AT31,Heating Tertiary,2010,89,0.00016446700305579952,2010/01/04 16:00:00
AT31,Heating Tertiary,2010,90,0.00016531400307153682,2010/01/04 17:00:00
AT31,Heating Tertiary,2010,91,0.00016915000314280973,2010/01/04 18:00:00
AT31,Heating Tertiary,2010,92,0.00018053400335432462,2010/01/04 19:00:00
AT31,Heating Tertiary,2010,93,0.00020290000376988528,2010/01/04 20:00:00
AT31,Heating Tertiary,2010,94,0.00023596600438425207,2010/01/04 21:00:00
AT31,Heating Tertiary,2010,95,0.0002749000051076464,2010/01/04 22:00:00
AT31,Heating Tertiary,2010,96,0.00031180400579332345,2010/01/04 23:00:00
AT31,Heating Tertiary,2010,97,0.00040244600747745316,2010/01/05 00:00:00
AT31,Heating Tertiary,2010,98,0.0004227790078552406,2010/01/05 01:00:00
AT31,Heating Tertiary,2010,99,0.00043330000805072097,2010/01/05 02:00:00
AT31,Heating Tertiary,2010,100,0.0004374600081280138,2010/01/05 03:00:00
AT31,Heating Tertiary,2010,101,0.0004299630079887195,2010/01/05 04:00:00
AT31,Heating Tertiary,2010,102,0.000405056007525947,2010/01/05 05:00:00
