NUTS2_code,process,year,hour,load,datetime
CY00,Heating Tertiary,2010,1,0.00023086300207776224,2010/01/01 00:00:00
CY00,Heating Tertiary,2010,2,0.0002667930024011315,2010/01/01 01:00:00
CY00,Heating Tertiary,2010,3,0.0002963030026667209,2010/01/01 02:00:00
CY00,Heating Tertiary,2010,4,0.0003148730028338505,2010/01/01 03:00:00
CY00,Heating Tertiary,2010,5,0.00032324700290921636,2010/01/01 04:00:00
CY00,Heating Tertiary,2010,6,0.00032658000293921325,2010/01/01 05:00:00
CY00,Heating Tertiary,2010,7,0.00032159100289431237,2010/01/01 06:00:00
CY00,Heating Tertiary,2010,8,0.00030522500274701876,2010/01/01 07:00:00
CY00,Heating Tertiary,2010,9,0.0002784250025058193,2010/01/01 08:00:00
CY00,Heating Tertiary,2010,10,0.0002461460022153089,2010/01/01 09:00:00
CY00,Heating Tertiary,2010,11,0.00021539400193854158,2010/01/01 10:00:00
CY00,Heating Tertiary,2010,12,0.00019142700172283906,2010/01/01 11:00:00
CY00,Heating Tertiary,2010,13,0.00017499400157494242,2010/01/01 12:00:00
CY00,Heating Tertiary,2010,14,0.00016242300146180366,2010/01/01 13:00:00
CY00,Heating Tertiary,2010,15,0.00015250300137252385,2010/01/01 14:00:00
CY00,Heating Tertiary,2010,16,0.00014697700132278998,2010/01/01 15:00:00
CY00,Heating Tertiary,2010,17,0.00014445500130009204,2010/01/01 16:00:00
CY00,Heating Tertiary,2010,18,0.00014342200129079504,2010/01/01 17:00:00
CY00,Heating Tertiary,2010,19,0.00014155200127396515,2010/01/01 18:00:00
CY00,Heating Tertiary,2010,20,0.0001407520012667651,2010/01/01 19:00:00
CY00,Heating Tertiary,2010,21,0.00014286500128578208,2010/01/01 20:00:00
CY00,Heating Tertiary,2010,22,0.00015121500136093188,2010/01/01 21:00:00
CY00,Heating Tertiary,2010,23,0.00016916300152246348,2010/01/01 22:00:00
CY00,Heating Tertiary,2010,24,0.00019640800176766796,2010/01/01 23:00:00
CY00,Heating Tertiary,2010,25,0.0002336130021025122,2010/01/02 00:00:00
CY00,Heating Tertiary,2010,26,0.0002669740024027605,2010/01/02 01:00:00
CY00,Heating Tertiary,2010,27,0.000291828002626446,2010/01/02 02:00:00
CY00,Heating Tertiary,2010,28,0.0003060600027545337,2010/01/02 03:00:00
CY00,Heating Tertiary,2010,29,0.00031455900283102454,2010/01/02 04:00:00
CY00,Heating Tertiary,2010,30,0.0003194770028752865,2010/01/02 05:00:00
CY00,Heating Tertiary,2010,31,0.0003159190028432646,2010/01/02 06:00:00
CY00,Heating Tertiary,2010,32,0.0002998020026982119,2010/01/02 07:00:00
CY00,Heating Tertiary,2010,33,0.00027276500245487935,2010/01/02 08:00:00
CY00,Heating Tertiary,2010,34,0.00024035600216319906,2010/01/02 09:00:00
CY00,Heating Tertiary,2010,35,0.0002087600018788357,2010/01/02 10:00:00
CY00,Heating Tertiary,2010,36,0.00018319700164876924,2010/01/02 11:00:00
CY00,Heating Tertiary,2010,37,0.00016494400148449266,2010/01/02 12:00:00
CY00,Heating Tertiary,2010,38,0.00015158400136425289,2010/01/02 13:00:00
CY00,Heating Tertiary,2010,39,0.00014196800127770908,2010/01/02 14:00:00
CY00,Heating Tertiary,2010,40,0.0001374850012373622,2010/01/02 15:00:00
CY00,Heating Tertiary,2010,41,0.00013782600124043117,2010/01/02 16:00:00
CY00,Heating Tertiary,2010,42,0.00013977200125794514,2010/01/02 17:00:00
CY00,Heating Tertiary,2010,43,0.00014045600126410114,2010/01/02 18:00:00
CY00,Heating Tertiary,2010,44,0.00014027700126249012,2010/01/02 19:00:00
CY00,Heating Tertiary,2010,45,0.00014168200127513512,2010/01/02 20:00:00
CY00,Heating Tertiary,2010,46,0.00014919400134274293,2010/01/02 21:00:00
CY00,Heating Tertiary,2010,47,0.00016772200150949455,2010/01/02 22:00:00
CY00,Heating Tertiary,2010,48,0.00019720100177480495,2010/01/02 23:00:00
CY00,Heating Tertiary,2010,49,6.75697006081259e-05,2010/01/03 00:00:00
CY00,Heating Tertiary,2010,50,7.80858007027706e-05,2010/01/03 01:00:00
CY00,Heating Tertiary,2010,51,8.672260078050161e-05,2010/01/03 02:00:00
