NUTS2_code,process,year,hour,load,datetime
DEB2,Heating Tertiary,2010,1,0.00031847497960485965,2010/01/01 00:00:00
DEB2,Heating Tertiary,2010,2,0.00033820397834141437,2010/01/01 01:00:00
DEB2,Heating Tertiary,2010,3,0.0003471159777706898,2010/01/01 02:00:00
DEB2,Heating Tertiary,2010,4,0.0003505629775499441,2010/01/01 03:00:00
DEB2,Heating Tertiary,2010,5,0.0003450029779060065,2010/01/01 04:00:00
DEB2,Heating Tertiary,2010,6,0.0003272309790441253,2010/01/01 05:00:00
DEB2,Heating Tertiary,2010,7,0.00029833598089456126,2010/01/01 06:00:00
DEB2,Heating Tertiary,2010,8,0.0002636859831135474,2010/01/01 07:00:00
DEB2,Heating Tertiary,2010,9,0.00023078398522059164,2010/01/01 08:00:00
DEB2,Heating Tertiary,2010,10,0.00020520298685879898,2010/01/01 09:00:00
DEB2,Heating Tertiary,2010,11,0.0001876369879837257,2010/01/01 10:00:00
DEB2,Heating Tertiary,2010,12,0.00017417998884551204,2010/01/01 11:00:00
DEB2,Heating Tertiary,2010,13,0.0001636119895222868,2010/01/01 12:00:00
DEB2,Heating Tertiary,2010,14,0.00015773698989852183,2010/01/01 13:00:00
DEB2,Heating Tertiary,2010,15,0.00015506999006931652,2010/01/01 14:00:00
DEB2,Heating Tertiary,2010,16,0.00015393699014187387,2010/01/01 15:00:00
DEB2,Heating Tertiary,2010,17,0.00015194299026956957,2010/01/01 16:00:00
DEB2,Heating Tertiary,2010,18,0.00015112499032195434,2010/01/01 17:00:00
DEB2,Heating Tertiary,2010,19,0.0001534879901706278,2010/01/01 18:00:00
DEB2,Heating Tertiary,2010,20,0.00016262198958568643,2010/01/01 19:00:00
DEB2,Heating Tertiary,2010,21,0.00018206098834081278,2010/01/01 20:00:00
DEB2,Heating Tertiary,2010,22,0.0002114569864582928,2010/01/01 21:00:00
DEB2,Heating Tertiary,2010,23,0.00024850398408580277,2010/01/01 22:00:00
DEB2,Heating Tertiary,2010,24,0.0002869839816215435,2010/01/01 23:00:00
DEB2,Heating Tertiary,2010,25,0.0003135749799186556,2010/01/02 00:00:00
