NUTS2_code,process,year,hour,load,datetime
DEG0,Heating Tertiary,2010,1,0.0003228860088793639,2010/01/01 00:00:00
DEG0,Heating Tertiary,2010,2,0.0003428900094294738,2010/01/01 01:00:00
DEG0,Heating Tertiary,2010,3,0.0003519240096779089,2010/01/01 02:00:00
DEG0,Heating Tertiary,2010,4,0.00035541900977402143,2010/01/01 03:00:00
DEG0,Heating Tertiary,2010,5,0.00034978200961900376,2010/01/01 04:00:00
DEG0,Heating Tertiary,2010,6,0.0003317650091235363,2010/01/01 05:00:00
DEG0,Heating Tertiary,2010,7,0.00030246900831789643,2010/01/01 06:00:00
DEG0,Heating Tertiary,2010,8,0.0002673390073518216,2010/01/01 07:00:00
DEG0,Heating Tertiary,2010,9,0.00023398100643447667,2010/01/01 08:00:00
DEG0,Heating Tertiary,2010,10,0.00020804500572123676,2010/01/01 09:00:00
DEG0,Heating Tertiary,2010,11,0.00019023600523148933,2010/01/01 10:00:00
DEG0,Heating Tertiary,2010,12,0.0001765920048562794,2010/01/01 11:00:00
DEG0,Heating Tertiary,2010,13,0.00016587900456167197,2010/01/01 12:00:00
DEG0,Heating Tertiary,2010,14,0.00015992200439785445,2010/01/01 13:00:00
DEG0,Heating Tertiary,2010,15,0.00015721800432349445,2010/01/01 14:00:00
DEG0,Heating Tertiary,2010,16,0.00015607000429192444,2010/01/01 15:00:00
DEG0,Heating Tertiary,2010,17,0.00015404800423631947,2010/01/01 16:00:00
DEG0,Heating Tertiary,2010,18,0.00015321900421352196,2010/01/01 17:00:00
DEG0,Heating Tertiary,2010,19,0.00015561400427938446,2010/01/01 18:00:00
DEG0,Heating Tertiary,2010,20,0.00016487500453406194,2010/01/01 19:00:00
DEG0,Heating Tertiary,2010,21,0.00018458200507600434,2010/01/01 20:00:00
DEG0,Heating Tertiary,2010,22,0.00021438600589561424,2010/01/01 21:00:00
DEG0,Heating Tertiary,2010,23,0.00025194700692854165,2010/01/01 22:00:00
DEG0,Heating Tertiary,2010,24,0.00029096000800139896,2010/01/01 23:00:00
DEG0,Heating Tertiary,2010,25,0.0003179190087427715,2010/01/02 00:00:00
DEG0,Heating Tertiary,2010,26,0.0003332920091655288,2010/01/02 01:00:00
DEG0,Heating Tertiary,2010,27,0.0003424960094186388,2010/01/02 02:00:00
DEG0,Heating Tertiary,2010,28,0.0003477160095621888,2010/01/02 03:00:00
DEG0,Heating Tertiary,2010,29,0.0003436160094494388,2010/01/02 04:00:00
DEG0,Heating Tertiary,2010,30,0.0003258570089610664,2010/01/02 05:00:00
DEG0,Heating Tertiary,2010,31,0.00029630800814846894,2010/01/02 06:00:00
DEG0,Heating Tertiary,2010,32,0.00026102500717818655,2010/01/02 07:00:00
DEG0,Heating Tertiary,2010,33,0.00022673400623518422,2010/01/02 08:00:00
DEG0,Heating Tertiary,2010,34,0.0001990510054739018,2010/01/02 09:00:00
DEG0,Heating Tertiary,2010,35,0.00017927800493014437,2010/01/02 10:00:00
DEG0,Heating Tertiary,2010,36,0.00016479800453194444,2010/01/02 11:00:00
DEG0,Heating Tertiary,2010,37,0.00015442200424660446,2010/01/02 12:00:00
DEG0,Heating Tertiary,2010,38,0.00014964100411512697,2010/01/02 13:00:00
DEG0,Heating Tertiary,2010,39,0.0001500560041265395,2010/01/02 14:00:00
DEG0,Heating Tertiary,2010,40,0.000152151004184152,2010/01/02 15:00:00
DEG0,Heating Tertiary,2010,41,0.00015287200420397947,2010/01/02 16:00:00
DEG0,Heating Tertiary,2010,42,0.00015269000419897448,2010/01/02 17:00:00
DEG0,Heating Tertiary,2010,43,0.000154307004243442,2010/01/02 18:00:00
DEG0,Heating Tertiary,2010,44,0.00016267900447367194,2010/01/02 19:00:00
