NUTS2_code,process,year,hour,load,datetime
HU33,Heating Tertiary,2010,1,0.00021097498488786338,2010/01/01 00:00:00
HU33,Heating Tertiary,2010,2,0.00021653098448988717,2010/01/01 01:00:00
HU33,Heating Tertiary,2010,3,0.0002186749843363125,2010/01/01 02:00:00
HU33,Heating Tertiary,2010,4,0.00021519798458536995,2010/01/01 03:00:00
HU33,Heating Tertiary,2010,5,0.0002041049853799614,2010/01/01 04:00:00
HU33,Heating Tertiary,2010,6,0.00018607498667145005,2010/01/01 05:00:00
HU33,Heating Tertiary,2010,7,0.00016446098821966057,2010/01/01 06:00:00
HU33,Heating Tertiary,2010,8,0.00014394198968943633,2010/01/01 07:00:00
HU33,Heating Tertiary,2010,9,0.00012798999083207788,2010/01/01 08:00:00
HU33,Heating Tertiary,2010,10,0.00011703699161664116,2010/01/01 09:00:00
HU33,Heating Tertiary,2010,11,0.00010864299221790327,2010/01/01 10:00:00
HU33,Heating Tertiary,2010,12,0.00010205499268980163,2010/01/01 11:00:00
HU33,Heating Tertiary,2010,13,9.839219295216794e-05,2010/01/01 12:00:00
HU33,Heating Tertiary,2010,14,9.673039307120265e-05,2010/01/01 13:00:00
HU33,Heating Tertiary,2010,15,9.602259312190235e-05,2010/01/01 14:00:00
HU33,Heating Tertiary,2010,16,9.477939321095275e-05,2010/01/01 15:00:00
HU33,Heating Tertiary,2010,17,9.427089324737661e-05,2010/01/01 16:00:00
HU33,Heating Tertiary,2010,18,9.574899314150032e-05,2010/01/01 17:00:00
HU33,Heating Tertiary,2010,19,0.00010145399273285124,2010/01/01 18:00:00
HU33,Heating Tertiary,2010,20,0.00011358599186383623,2010/01/01 19:00:00
HU33,Heating Tertiary,2010,21,0.00013192899054992736,2010/01/01 20:00:00
HU33,Heating Tertiary,2010,22,0.0001550409888944151,2010/01/01 21:00:00
HU33,Heating Tertiary,2010,23,0.000179039987175367,2010/01/01 22:00:00
HU33,Heating Tertiary,2010,24,0.00019867698576876895,2010/01/01 23:00:00
HU33,Heating Tertiary,2010,25,0.00020506898531091007,2010/01/02 00:00:00
HU33,Heating Tertiary,2010,26,0.00021073098490534108,2010/01/02 01:00:00
HU33,Heating Tertiary,2010,27,0.00021393698467569536,2010/01/02 02:00:00
HU33,Heating Tertiary,2010,28,0.0002114049848570625,2010/01/02 03:00:00
HU33,Heating Tertiary,2010,29,0.0002004699856403364,2010/01/02 04:00:00
HU33,Heating Tertiary,2010,30,0.00018228498694292772,2010/01/02 05:00:00
HU33,Heating Tertiary,2010,31,0.0001605759884979431,2010/01/02 06:00:00
HU33,Heating Tertiary,2010,32,0.00013948199000890607,2010/01/02 07:00:00
HU33,Heating Tertiary,2010,33,0.00012245499122854987,2010/01/02 08:00:00
HU33,Heating Tertiary,2010,34,0.00011029399209964215,2010/01/02 09:00:00
HU33,Heating Tertiary,2010,35,0.00010138699273765045,2010/01/02 10:00:00
HU33,Heating Tertiary,2010,36,9.500699319464978e-05,2010/01/02 11:00:00
HU33,Heating Tertiary,2010,37,9.206929340507719e-05,2010/01/02 12:00:00
HU33,Heating Tertiary,2010,38,9.23257933867041e-05,2010/01/02 13:00:00
HU33,Heating Tertiary,2010,39,9.36143932944017e-05,2010/01/02 14:00:00
HU33,Heating Tertiary,2010,40,9.405669326271975e-05,2010/01/02 15:00:00
HU33,Heating Tertiary,2010,41,9.39451932707065e-05,2010/01/02 16:00:00
HU33,Heating Tertiary,2010,42,9.494299319923409e-05,2010/01/02 17:00:00
HU33,Heating Tertiary,2010,43,0.00010010199282969499,2010/01/02 18:00:00
HU33,Heating Tertiary,2010,44,0.00011264499193124004,2010/01/02 19:00:00
HU33,Heating Tertiary,2010,45,0.0001324949905093848,2010/01/02 20:00:00
