NUTS2_code,process,year,hour,load,datetime
IE02,Heating Tertiary,2010,1,0.00033338796282723996,2010/01/01 00:00:00
IE02,Heating Tertiary,2010,2,0.000369339958818592,2010/01/01 01:00:00
IE02,Heating Tertiary,2010,3,0.00039164195633191917,2010/01/01 02:00:00
IE02,Heating Tertiary,2010,4,0.0004017549552043197,2010/01/01 03:00:00
IE02,Heating Tertiary,2010,5,0.0004054089547968987,2010/01/01 04:00:00
IE02,Heating Tertiary,2010,6,0.0003984729555702627,2010/01/01 05:00:00
IE02,Heating Tertiary,2010,7,0.0003774119579185641,2010/01/01 06:00:00
IE02,Heating Tertiary,2010,8,0.00034367496168023943,2010/01/01 07:00:00
IE02,Heating Tertiary,2010,9,0.0003036029661482672,2010/01/01 08:00:00
IE02,Heating Tertiary,2010,10,0.00026582497036051395,2010/01/01 09:00:00
IE02,Heating Tertiary,2010,11,0.00023660497361854382,2010/01/01 10:00:00
IE02,Heating Tertiary,2010,12,0.00021647797586270422,2010/01/01 11:00:00
IE02,Heating Tertiary,2010,13,0.0002010029775881666,2010/01/01 12:00:00
IE02,Heating Tertiary,2010,14,0.00018898797892783904,2010/01/01 13:00:00
IE02,Heating Tertiary,2010,15,0.00018233497966964852,2010/01/01 14:00:00
IE02,Heating Tertiary,2010,16,0.0001793469800028105,2010/01/01 15:00:00
IE02,Heating Tertiary,2010,17,0.00017798198015500798,2010/01/01 16:00:00
IE02,Heating Tertiary,2010,18,0.0001757089804084475,2010/01/01 17:00:00
IE02,Heating Tertiary,2010,19,0.00017486298050277649,2010/01/01 18:00:00
IE02,Heating Tertiary,2010,20,0.0001778329801716215,2010/01/01 19:00:00
IE02,Heating Tertiary,2010,21,0.00018882597894590204,2010/01/01 20:00:00
IE02,Heating Tertiary,2010,22,0.00021173597639143716,2010/01/01 21:00:00
IE02,Heating Tertiary,2010,23,0.0002461079725589594,2010/01/01 22:00:00
IE02,Heating Tertiary,2010,24,0.0002891099677642366,2010/01/01 23:00:00
IE02,Heating Tertiary,2010,25,0.0003333239628343759,2010/01/02 00:00:00
IE02,Heating Tertiary,2010,26,0.0003634309594774455,2010/01/02 01:00:00
IE02,Heating Tertiary,2010,27,0.0003806789575542936,2010/01/02 02:00:00
IE02,Heating Tertiary,2010,28,0.0003910659563961432,2010/01/02 03:00:00
IE02,Heating Tertiary,2010,29,0.00039669595576839826,2010/01/02 04:00:00
IE02,Heating Tertiary,2010,30,0.00039145495635276966,2010/01/02 05:00:00
IE02,Heating Tertiary,2010,31,0.00037065695867174656,2010/01/02 06:00:00
IE02,Heating Tertiary,2010,32,0.0003366459624639729,2010/01/02 07:00:00
IE02,Heating Tertiary,2010,33,0.00029636796695496967,2010/01/02 08:00:00
IE02,Heating Tertiary,2010,34,0.0002574899712898664,2010/01/02 09:00:00
IE02,Heating Tertiary,2010,35,0.00022625297477279176,2010/01/02 10:00:00
IE02,Heating Tertiary,2010,36,0.00020392797726202913,2010/01/02 11:00:00
IE02,Heating Tertiary,2010,37,0.00018755697908739554,2010/01/02 12:00:00
IE02,Heating Tertiary,2010,38,0.00017594198038246799,2010/01/02 13:00:00
IE02,Heating Tertiary,2010,39,0.00017073098096349445,2010/01/02 14:00:00
IE02,Heating Tertiary,2010,40,0.00017130798089915895,2010/01/02 15:00:00
IE02,Heating Tertiary,2010,41,0.00017364298063880646,2010/01/02 16:00:00
IE02,Heating Tertiary,2010,42,0.0001744089805533975,2010/01/02 17:00:00
IE02,Heating Tertiary,2010,43,0.00017423298057302148,2010/01/02 18:00:00
IE02,Heating Tertiary,2010,44,0.00017629098034355447,2010/01/02 19:00:00
IE02,Heating Tertiary,2010,45,0.00018632897922431755,2010/01/02 20:00:00
