NUTS2_code,process,year,hour,load,datetime
PT17,Heating Tertiary,2010,1,0.0002364159883683361,2010/01/01 00:00:00
PT17,Heating Tertiary,2010,2,0.0002721729866090922,2010/01/01 01:00:00
PT17,Heating Tertiary,2010,3,0.00030094098519370697,2010/01/01 02:00:00
PT17,Heating Tertiary,2010,4,0.00031857698432601603,2010/01/01 03:00:00
PT17,Heating Tertiary,2010,5,0.00032661298393064496,2010/01/01 04:00:00
PT17,Heating Tertiary,2010,6,0.000329272983799773,2010/01/01 05:00:00
PT17,Heating Tertiary,2010,7,0.0003231689841000898,2010/01/01 06:00:00
PT17,Heating Tertiary,2010,8,0.00030559098496492706,2010/01/01 07:00:00
PT17,Heating Tertiary,2010,9,0.00027789298632766826,2010/01/01 08:00:00
PT17,Heating Tertiary,2010,10,0.0002453459879289802,2010/01/01 09:00:00
PT17,Heating Tertiary,2010,11,0.00021491398942623417,2010/01/01 10:00:00
PT17,Heating Tertiary,2010,12,0.00019151899057726787,2010/01/01 11:00:00
PT17,Heating Tertiary,2010,13,0.00017534499137302845,2010/01/01 12:00:00
PT17,Heating Tertiary,2010,14,0.00016285899198733949,2010/01/01 13:00:00
PT17,Heating Tertiary,2010,15,0.00015329099245808494,2010/01/01 14:00:00
PT17,Heating Tertiary,2010,16,0.00014801799271751647,2010/01/01 15:00:00
PT17,Heating Tertiary,2010,17,0.00014568199283244767,2010/01/01 16:00:00
PT17,Heating Tertiary,2010,18,0.00014451999288961803,2010/01/01 17:00:00
PT17,Heating Tertiary,2010,19,0.00014270399297896519,2010/01/01 18:00:00
PT17,Heating Tertiary,2010,20,0.00014211099300814078,2010/01/01 19:00:00
PT17,Heating Tertiary,2010,21,0.0001447429928786464,2010/01/01 20:00:00
PT17,Heating Tertiary,2010,22,0.00015406999241975814,2010/01/01 21:00:00
PT17,Heating Tertiary,2010,23,0.000173076991484614,2010/01/01 22:00:00
PT17,Heating Tertiary,2010,24,0.0002013429900939272,2010/01/01 23:00:00
PT17,Heating Tertiary,2010,25,0.00023899598824140013,2010/01/02 00:00:00
PT17,Heating Tertiary,2010,26,0.0002719369866207034,2010/01/02 01:00:00
PT17,Heating Tertiary,2010,27,0.00029591798544083856,2010/01/02 02:00:00
PT17,Heating Tertiary,2010,28,0.00030965898476478153,2010/01/02 03:00:00
PT17,Heating Tertiary,2010,29,0.0003179929843547488,2010/01/02 04:00:00
PT17,Heating Tertiary,2010,30,0.0003222639841446157,2010/01/02 05:00:00
PT17,Heating Tertiary,2010,31,0.00031748398437979173,2010/01/02 06:00:00
PT17,Heating Tertiary,2010,32,0.000300090985235527,2010/01/02 07:00:00
PT17,Heating Tertiary,2010,33,0.000272183986608551,2010/01/02 08:00:00
PT17,Heating Tertiary,2010,34,0.00023943998821955532,2010/01/02 09:00:00
PT17,Heating Tertiary,2010,35,0.0002080819897623685,2010/01/02 10:00:00
PT17,Heating Tertiary,2010,36,0.00018302499099517256,2010/01/02 11:00:00
PT17,Heating Tertiary,2010,37,0.0001651049918768363,2010/01/02 12:00:00
PT17,Heating Tertiary,2010,38,0.0001519439925243573,2010/01/02 13:00:00
PT17,Heating Tertiary,2010,39,0.000142714992978424,2010/01/02 14:00:00
PT17,Heating Tertiary,2010,40,0.00013870599317566674,2010/01/02 15:00:00
PT17,Heating Tertiary,2010,41,0.00013927299314777034,2010/01/02 16:00:00
PT17,Heating Tertiary,2010,42,0.00014111799305699637,2010/01/02 17:00:00
PT17,Heating Tertiary,2010,43,0.00014168699302900158,2010/01/02 18:00:00
PT17,Heating Tertiary,2010,44,0.00014157399303456114,2010/01/02 19:00:00
PT17,Heating Tertiary,2010,45,0.000143444992942508,2010/01/02 20:00:00
PT17,Heating Tertiary,2010,46,0.00015204899251919132,2010/01/02 21:00:00
PT17,Heating Tertiary,2010,47,0.00017181399154675366,2010/01/02 22:00:00
PT17,Heating Tertiary,2010,48,0.00020242699004059442,2010/01/02 23:00:00
PT17,Heating Tertiary,2010,49,0.00027889498627836986,2010/01/03 00:00:00
PT17,Heating Tertiary,2010,50,0.00032107798420296686,2010/01/03 01:00:00
PT17,Heating Tertiary,2010,51,0.00035501698253316853,2010/01/03 02:00:00
PT17,Heating Tertiary,2010,52,0.00037582098150961205,2010/01/03 03:00:00
PT17,Heating Tertiary,2010,53,0.000385301981043147,2010/01/03 04:00:00
PT17,Heating Tertiary,2010,54,0.0003884409808887082,2010/01/03 05:00:00
PT17,Heating Tertiary,2010,55,0.0003812399812429973,2010/01/03 06:00:00
PT17,Heating Tertiary,2010,56,0.00036050198226330666,2010/01/03 07:00:00
PT17,Heating Tertiary,2010,57,0.0003278269838709162,2010/01/03 08:00:00
PT17,Heating Tertiary,2010,58,0.0002894329857599004,2010/01/03 09:00:00
PT17,Heating Tertiary,2010,59,0.0002535329875261799,2010/01/03 10:00:00
PT17,Heating Tertiary,2010,60,0.00022593298888409953,2010/01/03 11:00:00
PT17,Heating Tertiary,2010,61,0.0002068519898228845,2010/01/03 12:00:00
PT17,Heating Tertiary,2010,62,0.00019212299054755108,2010/01/03 13:00:00
PT17,Heating Tertiary,2010,63,0.00018083599110287133,2010/01/03 14:00:00
PT17,Heating Tertiary,2010,64,0.00017461399140899364,2010/01/03 15:00:00
PT17,Heating Tertiary,2010,65,0.0001718589915445396,2010/01/03 16:00:00
PT17,Heating Tertiary,2010,66,0.00017048899161194357,2010/01/03 17:00:00
PT17,Heating Tertiary,2010,67,0.00016834699171732996,2010/01/03 18:00:00
