NUTS2_code,process,year,hour,load,datetime
SK03,Heating Tertiary,2010,1,0.00026227098206591133,2010/01/01 00:00:00
SK03,Heating Tertiary,2010,2,0.0002692619815878668,2010/01/01 01:00:00
SK03,Heating Tertiary,2010,3,0.0002720679813959925,2010/01/01 02:00:00
SK03,Heating Tertiary,2010,4,0.00026795198167744457,2010/01/01 03:00:00
SK03,Heating Tertiary,2010,5,0.000254360982606797,2010/01/01 04:00:00
SK03,Heating Tertiary,2010,6,0.00023206198413160248,2010/01/01 05:00:00
SK03,Heating Tertiary,2010,7,0.0002051709859704088,2010/01/01 06:00:00
SK03,Heating Tertiary,2010,8,0.00017952898772380857,2010/01/01 07:00:00
SK03,Heating Tertiary,2010,9,0.00015953198909120323,2010/01/01 08:00:00
SK03,Heating Tertiary,2010,10,0.00014582699002835102,2010/01/01 09:00:00
SK03,Heating Tertiary,2010,11,0.0001353469907449733,2010/01/01 10:00:00
SK03,Heating Tertiary,2010,12,0.0001270649913112964,2010/01/01 11:00:00
SK03,Heating Tertiary,2010,13,0.00012244999162687006,2010/01/01 12:00:00
SK03,Heating Tertiary,2010,14,0.00012034099177108346,2010/01/01 13:00:00
SK03,Heating Tertiary,2010,15,0.00011948499182961674,2010/01/01 14:00:00
SK03,Heating Tertiary,2010,16,0.00011792399193635791,2010/01/01 15:00:00
SK03,Heating Tertiary,2010,17,0.00011724999198244602,2010/01/01 16:00:00
SK03,Heating Tertiary,2010,18,0.00011898999186346482,2010/01/01 17:00:00
SK03,Heating Tertiary,2010,19,0.00012591099139020693,2010/01/01 18:00:00
SK03,Heating Tertiary,2010,20,0.00014082599037031933,2010/01/01 19:00:00
SK03,Heating Tertiary,2010,21,0.00016349198882041851,2010/01/01 20:00:00
SK03,Heating Tertiary,2010,22,0.00019218298685852813,2010/01/01 21:00:00
SK03,Heating Tertiary,2010,23,0.000222133984810479,2010/01/01 22:00:00
SK03,Heating Tertiary,2010,24,0.0002467569831267585,2010/01/01 23:00:00
SK03,Heating Tertiary,2010,25,0.0002549299825678888,2010/01/02 00:00:00
SK03,Heating Tertiary,2010,26,0.0002620179820832114,2010/01/02 01:00:00
SK03,Heating Tertiary,2010,27,0.00026614198180121234,2010/01/02 02:00:00
SK03,Heating Tertiary,2010,28,0.0002632259820006084,2010/01/02 03:00:00
SK03,Heating Tertiary,2010,29,0.00024984498291560106,2010/01/02 04:00:00
SK03,Heating Tertiary,2010,30,0.0002273459844540825,2010/01/02 05:00:00
SK03,Heating Tertiary,2010,31,0.00020034998630006875,2010/01/02 06:00:00
SK03,Heating Tertiary,2010,32,0.00017400798810133443,2010/01/02 07:00:00
SK03,Heating Tertiary,2010,33,0.00015268398955946942,2010/01/02 08:00:00
SK03,Heating Tertiary,2010,34,0.00013745799060062316,2010/01/02 09:00:00
SK03,Heating Tertiary,2010,35,0.00012631599136251302,2010/01/02 10:00:00
SK03,Heating Tertiary,2010,36,0.00011828699191153598,2010/01/02 11:00:00
SK03,Heating Tertiary,2010,37,0.00011453199216830283,2010/01/02 12:00:00
SK03,Heating Tertiary,2010,38,0.00011480799214942997,2010/01/02 13:00:00
SK03,Heating Tertiary,2010,39,0.00011643399203824409,2010/01/02 14:00:00
SK03,Heating Tertiary,2010,40,0.00011700799199899398,2010/01/02 15:00:00
SK03,Heating Tertiary,2010,41,0.00011685599200938773,2010/01/02 16:00:00
SK03,Heating Tertiary,2010,42,0.00011800899193054561,2010/01/02 17:00:00
SK03,Heating Tertiary,2010,43,0.0001242259915054272,2010/01/02 18:00:00
SK03,Heating Tertiary,2010,44,0.000139618990452854,2010/01/02 19:00:00
SK03,Heating Tertiary,2010,45,0.00016414198877597147,2010/01/02 20:00:00
SK03,Heating Tertiary,2010,46,0.00019448198670132252,2010/01/02 21:00:00
SK03,Heating Tertiary,2010,47,0.00022230098479905953,2010/01/02 22:00:00
SK03,Heating Tertiary,2010,48,0.00024304998338024313,2010/01/02 23:00:00
SK03,Heating Tertiary,2010,49,0.0003153349784373954,2010/01/03 00:00:00
SK03,Heating Tertiary,2010,50,0.00032374097786259324,2010/01/03 01:00:00
SK03,Heating Tertiary,2010,51,0.0003271139776319476,2010/01/03 02:00:00
SK03,Heating Tertiary,2010,52,0.00032216497797036013,2010/01/03 03:00:00
SK03,Heating Tertiary,2010,53,0.0003058239790877575,2010/01/03 04:00:00
SK03,Heating Tertiary,2010,54,0.00027901298092109346,2010/01/03 05:00:00
SK03,Heating Tertiary,2010,55,0.0002466809831319554,2010/01/03 06:00:00
SK03,Heating Tertiary,2010,56,0.00021585198524004212,2010/01/03 07:00:00
SK03,Heating Tertiary,2010,57,0.00019180898688410226,2010/01/03 08:00:00
SK03,Heating Tertiary,2010,58,0.00017533098801086774,2010/01/03 09:00:00
SK03,Heating Tertiary,2010,59,0.00016273098887245564,2010/01/03 10:00:00
SK03,Heating Tertiary,2010,60,0.0001527729895533836,2010/01/03 11:00:00
SK03,Heating Tertiary,2010,61,0.00014722398993282415,2010/01/03 12:00:00
SK03,Heating Tertiary,2010,62,0.00014468899010616743,2010/01/03 13:00:00
SK03,Heating Tertiary,2010,63,0.00014365899017659882,2010/01/03 14:00:00
SK03,Heating Tertiary,2010,64,0.00014178299030487968,2010/01/03 15:00:00
SK03,Heating Tertiary,2010,65,0.00014097199036033588,2010/01/03 16:00:00
SK03,Heating Tertiary,2010,66,0.00014306499021721653,2010/01/03 17:00:00
SK03,Heating Tertiary,2010,67,0.000151384989648295,2010/01/03 18:00:00
SK03,Heating Tertiary,2010,68,0.0001693179884220366,2010/01/03 19:00:00
SK03,Heating Tertiary,2010,69,0.00019657098655847673,2010/01/03 20:00:00
SK03,Heating Tertiary,2010,70,0.0002310649841997773,2010/01/03 21:00:00
SK03,Heating Tertiary,2010,71,0.00026707598173734547,2010/01/03 22:00:00
SK03,Heating Tertiary,2010,72,0.0002966799797130242,2010/01/03 23:00:00
SK03,Heating Tertiary,2010,73,0.00037080897464408384,2010/01/04 00:00:00
SK03,Heating Tertiary,2010,74,0.0003901049733246235,2010/01/04 01:00:00
SK03,Heating Tertiary,2010,75,0.00040006097264383227,2010/01/04 02:00:00
SK03,Heating Tertiary,2010,76,0.00040433197235178136,2010/01/04 03:00:00
SK03,Heating Tertiary,2010,77,0.0003981969727712926,2010/01/04 04:00:00
SK03,Heating Tertiary,2010,78,0.000375918974294662,2010/01/04 05:00:00
SK03,Heating Tertiary,2010,79,0.0003397599767672141,2010/01/04 06:00:00
SK03,Heating Tertiary,2010,80,0.0002974209796623546,2010/01/04 07:00:00
SK03,Heating Tertiary,2010,81,0.00025899498228992417,2010/01/04 08:00:00
SK03,Heating Tertiary,2010,82,0.00022896798434317013,2010/01/04 09:00:00
SK03,Heating Tertiary,2010,83,0.00020827198575836244,2010/01/04 10:00:00
SK03,Heating Tertiary,2010,84,0.00019273398682085076,2010/01/04 11:00:00
SK03,Heating Tertiary,2010,85,0.00018209998754800357,2010/01/04 12:00:00
SK03,Heating Tertiary,2010,86,0.00017713998788716832,2010/01/04 13:00:00
SK03,Heating Tertiary,2010,87,0.00017715398788621103,2010/01/04 14:00:00
SK03,Heating Tertiary,2010,88,0.00017909098775375893,2010/01/04 15:00:00
SK03,Heating Tertiary,2010,89,0.0001797189877108164,2010/01/04 16:00:00
SK03,Heating Tertiary,2010,90,0.00018054898765406096,2010/01/04 17:00:00
SK03,Heating Tertiary,2010,91,0.00018440098739066124,2010/01/04 18:00:00
SK03,Heating Tertiary,2010,92,0.00019627398657878558,2010/01/04 19:00:00
SK03,Heating Tertiary,2010,93,0.00022010198494942717,2010/01/04 20:00:00
SK03,Heating Tertiary,2010,94,0.000255818982507099,2010/01/04 21:00:00
SK03,Heating Tertiary,2010,95,0.0002983809795967098,2010/01/04 22:00:00
SK03,Heating Tertiary,2010,96,0.00033909697681255006,2010/01/04 23:00:00
SK03,Heating Tertiary,2010,97,0.00035119697598515214,2010/01/05 00:00:00
SK03,Heating Tertiary,2010,98,0.0003694709747355762,2010/01/05 01:00:00
SK03,Heating Tertiary,2010,99,0.00037890097409075293,2010/01/05 02:00:00
SK03,Heating Tertiary,2010,100,0.0003829449738142242,2010/01/05 03:00:00
SK03,Heating Tertiary,2010,101,0.00037713397421158037,2010/01/05 04:00:00
SK03,Heating Tertiary,2010,102,0.0003560379756541247,2010/01/05 05:00:00
SK03,Heating Tertiary,2010,103,0.0003217899779960026,2010/01/05 06:00:00
