NUTS2_code,process,year,hour,load,datetime
UKG3,Heating Tertiary,2010,1,0.00030316298774615635,2010/01/01 00:00:00
UKG3,Heating Tertiary,2010,2,0.00033125598661063767,2010/01/01 01:00:00
UKG3,Heating Tertiary,2010,3,0.0003483059859214769,2010/01/01 02:00:00
UKG3,Heating Tertiary,2010,4,0.0003571119855655386,2010/01/01 03:00:00
UKG3,Heating Tertiary,2010,5,0.00036078198541719724,2010/01/01 04:00:00
UKG3,Heating Tertiary,2010,6,0.00035504298564916756,2010/01/01 05:00:00
UKG3,Heating Tertiary,2010,7,0.0003349189864625794,2010/01/01 06:00:00
UKG3,Heating Tertiary,2010,8,0.0003025139877723889,2010/01/01 07:00:00
UKG3,Heating Tertiary,2010,9,0.00026477498929779864,2010/01/01 08:00:00
UKG3,Heating Tertiary,2010,10,0.00023061199067866657,2010/01/01 09:00:00
UKG3,Heating Tertiary,2010,11,0.00020398199175505077,2010/01/01 10:00:00
UKG3,Heating Tertiary,2010,12,0.0001855969924981722,2010/01/01 11:00:00
UKG3,Heating Tertiary,2010,13,0.00017180699305556382,2010/01/01 12:00:00
UKG3,Heating Tertiary,2010,14,0.0001624079934354712,2010/01/01 13:00:00
UKG3,Heating Tertiary,2010,15,0.0001580699936108131,2010/01/01 14:00:00
UKG3,Heating Tertiary,2010,16,0.0001581289936084283,2010/01/01 15:00:00
UKG3,Heating Tertiary,2010,17,0.00015983199353959308,2010/01/01 16:00:00
UKG3,Heating Tertiary,2010,18,0.00016038799351711957,2010/01/01 17:00:00
UKG3,Heating Tertiary,2010,19,0.00016115999348591533,2010/01/01 18:00:00
UKG3,Heating Tertiary,2010,20,0.0001647119933423436,2010/01/01 19:00:00
UKG3,Heating Tertiary,2010,21,0.0001754959929064544,2010/01/01 20:00:00
UKG3,Heating Tertiary,2010,22,0.00019696399203871824,2010/01/01 21:00:00
UKG3,Heating Tertiary,2010,23,0.00022897799074471286,2010/01/01 22:00:00
UKG3,Heating Tertiary,2010,24,0.0002669559892096427,2010/01/01 23:00:00
UKG3,Heating Tertiary,2010,25,0.00031937998709066545,2010/01/02 00:00:00
UKG3,Heating Tertiary,2010,26,0.0003488829858981548,2010/01/02 01:00:00
UKG3,Heating Tertiary,2010,27,0.000365777985215259,2010/01/02 02:00:00
UKG3,Heating Tertiary,2010,28,0.0003758899848065321,2010/01/02 03:00:00
UKG3,Heating Tertiary,2010,29,0.0003816459845738747,2010/01/02 04:00:00
UKG3,Heating Tertiary,2010,30,0.00037718998475398614,2010/01/02 05:00:00
UKG3,Heating Tertiary,2010,31,0.000357741985540074,2010/01/02 06:00:00
UKG3,Heating Tertiary,2010,32,0.00032533398685000484,2010/01/02 07:00:00
UKG3,Heating Tertiary,2010,33,0.00028660898841526884,2010/01/02 08:00:00
