NUTS2_code,process,year,hour,load,datetime
UKK3,Heating Tertiary,2010,1,0.00029939697461113307,2010/01/01 00:00:00
UKK3,Heating Tertiary,2010,2,0.0003271409722584418,2010/01/01 01:00:00
UKK3,Heating Tertiary,2010,3,0.00034397897083057944,2010/01/01 02:00:00
UKK3,Heating Tertiary,2010,4,0.00035267597009307363,2010/01/01 03:00:00
UKK3,Heating Tertiary,2010,5,0.00035629996978575845,2010/01/01 04:00:00
UKK3,Heating Tertiary,2010,6,0.0003506329702663202,2010/01/01 05:00:00
UKK3,Heating Tertiary,2010,7,0.00033075897195163534,2010/01/01 06:00:00
UKK3,Heating Tertiary,2010,8,0.00029875597466548986,2010/01/01 07:00:00
UKK3,Heating Tertiary,2010,9,0.00026148597782598603,2010/01/01 08:00:00
UKK3,Heating Tertiary,2010,10,0.00022774798068696858,2010/01/01 09:00:00
UKK3,Heating Tertiary,2010,11,0.00020144798291720872,2010/01/01 10:00:00
UKK3,Heating Tertiary,2010,12,0.0001832919844568376,2010/01/01 11:00:00
UKK3,Heating Tertiary,2010,13,0.00016967298561172887,2010/01/01 12:00:00
UKK3,Heating Tertiary,2010,14,0.0001603909863988425,2010/01/01 13:00:00
UKK3,Heating Tertiary,2010,15,0.00015610698676212572,2010/01/01 14:00:00
UKK3,Heating Tertiary,2010,16,0.0001561639867572921,2010/01/01 15:00:00
UKK3,Heating Tertiary,2010,17,0.0001578459866146585,2010/01/01 16:00:00
UKK3,Heating Tertiary,2010,18,0.00015839598656801855,2010/01/01 17:00:00
UKK3,Heating Tertiary,2010,19,0.00015915898650331608,2010/01/01 18:00:00
UKK3,Heating Tertiary,2010,20,0.00016266498620600727,2010/01/01 19:00:00
UKK3,Heating Tertiary,2010,21,0.00017331498530288723,2010/01/01 20:00:00
UKK3,Heating Tertiary,2010,22,0.00019451698350495753,2010/01/01 21:00:00
UKK3,Heating Tertiary,2010,23,0.00022613298082392063,2010/01/01 22:00:00
UKK3,Heating Tertiary,2010,24,0.00026363997764332684,2010/01/01 23:00:00
UKK3,Heating Tertiary,2010,25,0.0003154119732530611,2010/01/02 00:00:00
UKK3,Heating Tertiary,2010,26,0.0003445489707822434,2010/01/02 01:00:00
UKK3,Heating Tertiary,2010,27,0.0003612349693672704,2010/01/02 02:00:00
UKK3,Heating Tertiary,2010,28,0.0003712199685205424,2010/01/02 03:00:00
UKK3,Heating Tertiary,2010,29,0.0003769049680384543,2010/01/02 04:00:00
UKK3,Heating Tertiary,2010,30,0.00037250496841157436,2010/01/02 05:00:00
UKK3,Heating Tertiary,2010,31,0.00035329797004032804,2010/01/02 06:00:00
UKK3,Heating Tertiary,2010,32,0.0003212929727543522,2010/01/02 07:00:00
UKK3,Heating Tertiary,2010,33,0.00028304897599744366,2010/01/02 08:00:00
UKK3,Heating Tertiary,2010,34,0.00024586097915098613,2010/01/02 09:00:00
UKK3,Heating Tertiary,2010,35,0.00021582698169786944,2010/01/02 10:00:00
