NUTS2_code,process,year,hour,load,datetime
UKL1,Heating Tertiary,2010,1,0.0002891649922012187,2010/01/01 00:00:00
UKL1,Heating Tertiary,2010,2,0.00031595999147855745,2010/01/01 01:00:00
UKL1,Heating Tertiary,2010,3,0.0003322229910399443,2010/01/01 02:00:00
UKL1,Heating Tertiary,2010,4,0.0003406219908134232,2010/01/01 03:00:00
UKL1,Heating Tertiary,2010,5,0.0003441229907190014,2010/01/01 04:00:00
UKL1,Heating Tertiary,2010,6,0.000338649990866608,2010/01/01 05:00:00
UKL1,Heating Tertiary,2010,7,0.0003194539913843243,2010/01/01 06:00:00
UKL1,Heating Tertiary,2010,8,0.00028854499221794014,2010/01/01 07:00:00
UKL1,Heating Tertiary,2010,9,0.0002525489931887524,2010/01/01 08:00:00
UKL1,Heating Tertiary,2010,10,0.00021996299406759693,2010/01/01 09:00:00
UKL1,Heating Tertiary,2010,11,0.00019456299475263504,2010/01/01 10:00:00
UKL1,Heating Tertiary,2010,12,0.0001770269952255811,2010/01/01 11:00:00
UKL1,Heating Tertiary,2010,13,0.00016387299558034448,2010/01/01 12:00:00
UKL1,Heating Tertiary,2010,14,0.00015490899582210359,2010/01/01 13:00:00
UKL1,Heating Tertiary,2010,15,0.00015077099593370554,2010/01/01 14:00:00
UKL1,Heating Tertiary,2010,16,0.00015082699593219518,2010/01/01 15:00:00
UKL1,Heating Tertiary,2010,17,0.00015245099588839586,2010/01/01 16:00:00
UKL1,Heating Tertiary,2010,18,0.0001529819958740748,2010/01/01 17:00:00
UKL1,Heating Tertiary,2010,19,0.00015371899585419791,2010/01/01 18:00:00
UKL1,Heating Tertiary,2010,20,0.0001571059957628505,2010/01/01 19:00:00
UKL1,Heating Tertiary,2010,21,0.00016739199548543703,2010/01/01 20:00:00
UKL1,Heating Tertiary,2010,22,0.0001878689949331723,2010/01/01 21:00:00
UKL1,Heating Tertiary,2010,23,0.00021840499410961622,2010/01/01 22:00:00
UKL1,Heating Tertiary,2010,24,0.00025462899313265474,2010/01/01 23:00:00
UKL1,Heating Tertiary,2010,25,0.00030463299178404665,2010/01/02 00:00:00
UKL1,Heating Tertiary,2010,26,0.0003327729910251108,2010/01/02 01:00:00
UKL1,Heating Tertiary,2010,27,0.0003488879905904893,2010/01/02 02:00:00
UKL1,Heating Tertiary,2010,28,0.00035853299033036345,2010/01/02 03:00:00
UKL1,Heating Tertiary,2010,29,0.00036402299018229817,2010/01/02 04:00:00
UKL1,Heating Tertiary,2010,30,0.00035977299029692065,2010/01/02 05:00:00
UKL1,Heating Tertiary,2010,31,0.00034122299079721426,2010/01/02 06:00:00
UKL1,Heating Tertiary,2010,32,0.00031031199163088403,2010/01/02 07:00:00
UKL1,Heating Tertiary,2010,33,0.0002733749926270751,2010/01/02 08:00:00
UKL1,Heating Tertiary,2010,34,0.00023745799359575672,2010/01/02 09:00:00
UKL1,Heating Tertiary,2010,35,0.0002084499943781026,2010/01/02 10:00:00
UKL1,Heating Tertiary,2010,36,0.00018773199493686714,2010/01/02 11:00:00
UKL1,Heating Tertiary,2010,37,0.00017256199534600213,2010/01/02 12:00:00
UKL1,Heating Tertiary,2010,38,0.0001616829956394088,2010/01/02 13:00:00
UKL1,Heating Tertiary,2010,39,0.00015665899577490608,2010/01/02 14:00:00
